symbol,name,sector
MMM,3M Company,Ind
AOS,A.O. Smith Corp,Ind
ABT,Abbott Laboratories,HC
ABBV,AbbVie Inc.,HC
ACN,Accenture plc,IT
ATVI,Activision Blizzard,IT
AYI,Acuity Brands Inc,Ind
ADBE,Adobe Systems Inc,IT
AAP,Advance Auto Parts,CD
AMD,Advanced Micro Devices Inc,IT
AES,AES Corp,Ut
AET,Aetna Inc,HC
AMG,Affiliated Managers Group Inc,Fin
AFL,AFLAC Inc,Fin
A,Agilent Technologies Inc,HC
APD,Air Products & Chemicals Inc,Mat
AKAM,Akamai Technologies Inc,IT
ALK,Alaska Air Group Inc,Ind
ALB,Albemarle Corp,Mat
ARE,Alexandria Real Estate Equities Inc,RE
ALXN,Alexion Pharmaceuticals,HC
ALGN,Align Technology,HC
ALLE,Allegion,Ind
AGN,"Allergan, Plc",HC
ADS,Alliance Data Systems,IT
LNT,Alliant Energy Corp,Ut
ALL,Allstate Corp,Fin
GOOGL,Alphabet Inc Class A,IT
GOOG,Alphabet Inc Class C,IT
MO,Altria Group Inc,CS
AMZN,Amazon.com Inc.,CD
AEE,Ameren Corp,Ut
AAL,American Airlines Group,Ind
AEP,American Electric Power,Ut
AXP,American Express Co,Fin
AIG,"American International Group, Inc.",Fin
AMT,American Tower Corp A,RE
AWK,American Water Works Company Inc,Ut
AMP,Ameriprise Financial,Fin
ABC,AmerisourceBergen Corp,HC
AME,AMETEK Inc.,Ind
AMGN,Amgen Inc.,HC
APH,Amphenol Corp,IT
APC,Anadarko Petroleum Corp,Engy
ADI,"Analog Devices, Inc.",IT
ANDV,Andeavor,Engy
ANSS,ANSYS,IT
ANTM,Anthem Inc.,HC
AON,Aon plc,Fin
APA,Apache Corporation,Engy
AIV,Apartment Investment & Management,RE
AAPL,Apple Inc.,IT
AMAT,Applied Materials Inc.,IT
APTV,Aptiv Plc,CD
ADM,Archer-Daniels-Midland Co,CS
ARNC,Arconic Inc.,Ind
AJG,Arthur J. Gallagher & Co.,Fin
AIZ,Assurant Inc.,Fin
T,AT&T Inc.,Telecom
ADSK,Autodesk Inc.,IT
ADP,Automatic Data Processing,IT
AZO,AutoZone Inc,CD
AVB,"AvalonBay Communities, Inc.",RE
AVY,Avery Dennison Corp,Mat
BHGE,"Baker Hughes, a GE Company",Engy
BLL,Ball Corp,Mat
BAC,Bank of America Corp,Fin
BAX,Baxter International Inc.,HC
BBT,BB&T Corporation,Fin
BDX,Becton Dickinson,HC
BRK.B,Berkshire Hathaway,Fin
BBY,Best Buy Co. Inc.,CD
BIIB,Biogen Inc.,HC
BLK,BlackRock,Fin
HRB,Block H&R,Fin
BA,Boeing Company,Ind
BKNG,Booking Holdings Inc,CD
BWA,BorgWarner,CD
BXP,Boston Properties,RE
BSX,Boston Scientific,HC
BHF,Brighthouse Financial Inc,Fin
BMY,Bristol-Myers Squibb,HC
AVGO,Broadcom,IT
BF.B,Brown-Forman Corp.,CS
CHRW,C. H. Robinson Worldwide,Ind
CA,"CA, Inc.",IT
COG,Cabot Oil & Gas,Engy
CDNS,Cadence Design Systems,IT
CPB,Campbell Soup,CS
COF,Capital One Financial,Fin
CAH,Cardinal Health Inc.,HC
KMX,Carmax Inc,CD
CCL,Carnival Corp.,CD
CAT,Caterpillar Inc.,Ind
CBOE,Cboe Global Markets,Fin
CBRE,CBRE Group,RE
CBS,CBS Corp.,CD
CELG,Celgene Corp.,HC
CNC,Centene Corporation,HC
CNP,CenterPoint Energy,Ut
CTL,CenturyLink Inc,Telecom
CERN,Cerner,HC
CF,CF Industries Holdings Inc,Mat
SCHW,Charles Schwab Corporation,Fin
CHTR,Charter Communications,CD
CVX,Chevron Corp.,Engy
CMG,Chipotle Mexican Grill,CD
CB,Chubb Limited,Fin
CHD,Church & Dwight,CS
CI,CIGNA Corp.,HC
XEC,Cimarex Energy,Engy
CINF,Cincinnati Financial,Fin
CTAS,Cintas Corporation,Ind
CSCO,Cisco Systems,IT
C,Citigroup Inc.,Fin
CFG,Citizens Financial Group,Fin
CTXS,Citrix Systems,IT
CME,CME Group Inc.,Fin
CMS,CMS Energy,Ut
KO,Coca-Cola Company (The),CS
CTSH,Cognizant Technology Solutions,IT
CL,Colgate-Palmolive,CS
CMCSA,Comcast Corp.,CD
CMA,Comerica Inc.,Fin
CAG,Conagra Brands,CS
