symbol,sector,industry
A,Healthcare,Diagnostics & Research
AA,Basic Materials,Aluminum
AACQ,Financial Services,Shell Companies
AAIC,Real Estate,REIT Mortgage
AAL,Industrials,Airlines
AAN,Consumer Cyclical,Specialty Retail
AAOI,Technology,Semiconductors
AAON,Industrials,Building Products & Equipment
AAP,Consumer Cyclical,Specialty Retail
AAPL,Technology,Consumer Electronics
AAT,Real Estate,REIT Diversified
AAWW,Industrials,Airports & Air Services
AAXN,Industrials,Aerospace & Defense
AB,Financial Services,Asset Management
ABB,Industrials,Electrical Equipment & Parts
ABBV,Healthcare,Drug Manufacturers General
ABC,Healthcare,Medical Distribution
ABCB,Financial Services,Banks Regional
ABCL,Healthcare,Biotechnology
ABCM,Healthcare,Biotechnology
ABEO,Healthcare,Biotechnology
ABEV,Consumer Defensive,Beverages Brewers
ABG,Consumer Cyclical,Auto & Truck Dealerships
ABM,Industrials,Specialty Business Services
ABMD,Healthcare,Medical Devices
ABNB,Communication Services,Internet Content & Information
ABR,Real Estate,REIT Mortgage
ABST,Technology,Software Application
ABT,Healthcare,Medical Devices
ABTX,Financial Services,Banks Regional
ABUS,Healthcare,Biotechnology
AC,Financial Services,Capital Markets
ACA,Industrials,Infrastructure Operations
ACAC,Financial Services,Shell Companies
ACAD,Healthcare,Biotechnology
ACAM,Financial Services,Shell Companies
ACB,Healthcare,Drug Manufacturers Specialty & Generic
ACBI,Financial Services,Banks Regional
ACC,Real Estate,REIT Residential
ACCO,Industrials,Business Equipment & Supplies
ACEL,Consumer Cyclical,Gambling
ACET,Healthcare,Biotechnology
ACEV,Financial Services,Shell Companies
ACGL,Financial Services,Insurance Diversified
ACH,Basic Materials,Aluminum
ACHC,Healthcare,Medical Care Facilities
ACI,Consumer Defensive,Grocery Stores
ACIA,Technology,Communication Equipment
ACIC,Financial Services,Shell Companies
ACIU,Healthcare,Biotechnology
ACIW,Technology,Software Infrastructure
ACLS,Technology,Semiconductor Equipment & Materials
ACM,Industrials,Engineering & Construction
ACMR,Technology,Semiconductor Equipment & Materials
ACN,Technology,Information Technology Services
ACNB,Financial Services,Banks Regional
ACND,Financial Services,Shell Companies
ACRE,Real Estate,REIT Mortgage
ACRS,Healthcare,Biotechnology
ACRX,Healthcare,Drug Manufacturers Specialty & Generic
ACTC,Financial Services,Shell Companies
ACTG,Industrials,Specialty Business Services
ACU,Consumer Defensive,Household & Personal Products
ADAP,Healthcare,Biotechnology
ADBE,Technology,Software Infrastructure
ADC,Real Estate,REIT Retail
ADCT,Healthcare,Biotechnology
ADES,Industrials,Pollution & Treatment Controls
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADMA,Healthcare,Biotechnology
ADMS,Healthcare,Drug Manufacturers Specialty & Generic
ADNT,Consumer Cyclical,Auto Parts
ADOC,Financial Services,Shell Companies
ADP,Industrials,Staffing & Employment Services
ADPT,Healthcare,Biotechnology
ADS,Financial Services,Credit Services
ADSK,Technology,Software Application
ADT,Industrials,Security & Protection Services
ADTN,Technology,Communication Equipment
ADUS,Healthcare,Medical Care Facilities
ADV,Communication Services,Advertising Agencies
ADVM,Healthcare,Biotechnology
AE,Energy,Oil & Gas Integrated
AEE,Utilities,Utilities Regulated Electric
AEG,Financial Services,Insurance Diversified
AEGN,Industrials,Engineering & Construction
AEIS,Industrials,Electrical Equipment & Parts
AEL,Financial Services,Insurance Life
AEM,Basic Materials,Gold
AENZ,Industrials,Engineering & Construction
AEO,Consumer Cyclical,Apparel Retail
AEP,Utilities,Utilities Regulated Electric
AER,Industrials,Airports & Air Services
AERI,Healthcare,Drug Manufacturers Specialty & Generic
AES,Utilities,Utilities Diversified
AEYE,Technology,Software Application
AFG,Financial Services,Insurance Property & Casualty
AFIB,Healthcare,Medical Devices
AFIN,Real Estate,REIT Diversified
AFL,Financial Services,Insurance Life
AFMD,Healthcare,Biotechnology
AFYA,Consumer Defensive,Education & Training Services
AG,Basic Materials,Silver
AGC,Financial Services,Shell Companies
AGCO,Industrials,Farm & Heavy Construction Machinery
AGEN,Healthcare,Biotechnology
AGFS,Consumer Defensive,Farm Products
AGI,Basic Materials,Gold
AGIO,Healthcare,Biotechnology
AGLE,Healthcare,Biotechnology
AGM,Financial Services,Credit Services
AGMH,Technology,Software Application
AGNC,Real Estate,REIT Mortgage
AGO,Financial Services,Insurance Specialty
AGR,Utilities,Utilities Regulated Electric
AGRO,Consumer Defensive,Farm Products
AGRX,Healthcare,Drug Manufacturers Specialty & Generic
AGS,Consumer Cyclical,Gambling
AGTC,Healthcare,Biotechnology
AGX,Industrials,Engineering & Construction
AGYS,Technology,Software Application
AHAC,Financial Services,Shell Companies
AHCO,Healthcare,Medical Devices
AHH,Real Estate,REIT Diversified
AHT,Real Estate,REIT Hotel & Motel
AI,Technology,Information Technology Services
AIG,Financial Services,Insurance Diversified
AIH,Healthcare,Medical Care Facilities
AIMC,Industrials,Specialty Industrial Machinery
AIN,Consumer Cyclical,Textile Manufacturing
AIR,Industrials,Aerospace & Defense
AIRC,Real Estate,REIT—Residential
AIRG,Technology,Communication Equipment
AIT,Industrials,Industrial Distribution
AIV,Real Estate,REIT Residential
AIZ,Financial Services,Insurance Specialty
AJAX,Financial Services,Shell Companies
AJG,Financial Services,Insurance Brokers
AJRD,Industrials,Aerospace & Defense
AJX,Real Estate,REIT Mortgage
AKAM,Technology,Software Infrastructure
AKBA,Healthcare,Biotechnology
AKR,Real Estate,REIT Retail
AKRO,Healthcare,Biotechnology
AKTS,Technology,Communication Equipment
AKTX,Healthcare,Biotechnology
AKU,Healthcare,Diagnostics & Research
AKUS,Healthcare,Biotechnology
AL,Industrials,Rental & Leasing Services
ALB,Basic Materials,Specialty Chemicals
ALBO,Healthcare,Biotechnology
ALC,Healthcare,Medical Instruments & Supplies
ALCO,Consumer Defensive,Farm Products
ALDX,Healthcare,Biotechnology
ALE,Utilities,Utilities Diversified
ALEC,Healthcare,Biotechnology
ALEX,Real Estate,REIT Diversified
ALG,Industrials,Farm & Heavy Construction Machinery
ALGM,Technology,Semiconductors
ALGN,Healthcare,Medical Devices
ALGS,Healthcare,Biotechnology
ALGT,Industrials,Airlines
ALK,Industrials,Airlines
ALKS,Healthcare,Biotechnology
