symbol,sector
A,206
AA,101
AAL,310
AAN,310
AAON,310
AAP,102
AAPL,311
AAT,104
AAXN,310
ABBV,206
ABC,206
ABCB,103
ABG,102
ABM,310
ABMD,206
ABR,104
ABT,206
ACA,310
ACAD,206
ACB,206
ACC,104
ACCO,310
ACGL,103
ACHC,206
ACIA,311
ACIW,311
ACM,310
ACN,311
ADBE,311
ADC,104
ADI,311
ADM,205
ADNT,102
ADP,310
ADPT,206
ADS,103
ADSK,311
ADSW,310
ADT,310
ADUS,206
AEE,207
AEIS,311
AEL,103
AEM,101
AEO,102
AEP,207
AER,310
AERI,206
AES,207
AFG,103
AFIN,104
AFL,103
AG,101
AGCO,310
AGI,101
AGIO,206
AGN,206
AGNC,104
AGO,103
AGR,207
AIG,103
AIMC,310
AIMT,206
AIN,102
AINV,103
AIR,310
AIT,310
AIV,104
AIZ,103
AJG,103
AJRD,310
AKAM,311
AKBA,206
AKCA,206
AKR,104
AKS,101
AL,310
ALB,101
ALE,207
ALEC,206
ALEX,104
ALG,310
ALGN,206
ALGT,310
ALK,310
ALKS,206
ALL,103
ALLE,310
ALLK,206
ALLO,206
ALLY,103
ALNY,206
ALRM,311
ALSN,102
ALTR,311
ALV,102
ALXN,206
AM,309
AMAT,311
AMBA,311
AMBC,103
AMCR,102
AMCX,308
AMD,311
AME,310
AMED,206
AMG,103
AMGN,206
AMH,104
AMKR,311
AMN,206
AMP,103
AMRX,206
AMT,104
AMTD,103
AMWD,102
AMZN,102
AN,102
ANET,311
ANF,102
ANGI,308
ANSS,311
ANTM,206
AON,103
AOS,310
APA,309
APAM,103
APD,101
APH,311
APHA,206
APLE,104
APLS,206
APOG,310
APPF,311
APPN,311
APTV,102
APY,309
AQN,207
AQUA,310
AR,309
ARCC,103
ARCH,309
ARE,104
ARES,103
ARGO,103
ARI,104
ARMK,102
ARNA,206
ARNC,310
AROC,309
ARQL,206
ARR,104
ARVN,206
ARW,311
ARWR,206
ASB,103
ASGN,310
ASH,101
ASTE,310
ATGE,205
ATH,103
ATI,310
ATKR,310
ATNX,206
ATO,207
ATR,102
ATRA,206
ATRC,206
ATRI,206
ATRO,310
ATSG,310
ATUS,308
ATVI,308
AUB,103
AUPH,206
AUY,101
AVA,207
AVAV,310
AVB,104
AVGO,311
AVLR,311
AVNS,206
AVT,311
AVTR,101
AVX,311
AVY,310
AVYA,311
AWI,310
AWK,207
AWR,207
AX,103
AXE,310
AXL,102
AXNX,206
AXP,103
AXS,103
AXSM,206
AXTA,101
AY,207
AYI,310
AYX,311
AZO,102
AZPN,311
AZZ,310
B,310
BA,310
BAC,103
BAH,310
BAM,103
BANC,103
BAND,311
BANR,103
BAP,103
BAX,206
BB,311
BBBY,102
BBY,102
BC,102
BCC,101
BCE,308
BCO,310
BCOR,103
BCPC,101
BDC,310
BDN,104
BDX,206
BE,310
BEAT,206
BECN,310
BEN,103
BERY,102
BF.B,205
BFAM,102
BG,205
BGCP,103
BGS,205
BHC,206
BHE,311
BHF,103
BHLB,103
BHVN,206
BIG,205
BIIB,206
BIO,206
BJ,205
BJRI,102
BK,103
BKD,206
BKE,102
BKH,207
BKI,311
BKNG,102
BKR,309
BKU,103
BL,311
BLD,310
BLDP,310
BLDR,310
BLK,103
BLKB,311
BLL,102
BLMN,102
BLUE,206
BMCH,310
BMI,310
BMO,103
BMRN,206
BMY,206
BNS,103
BOH,103
BOKF,103
BOLD,206
BOOT,102
BOX,311
BPFH,103
BPMC,206
BPOP,103
BPR,104
BR,311
BRC,310
BRK.B,103
BRKR,206
BRKS,311
BRO,103
BRX,104
BSIG,103
BSX,206
BTG,101
BTU,309
BURL,102
BWA,102
BWXT,310
BX,103
BXMT,104
BXP,104
BXS,103
BYD,102
BYND,205
C,103
CABO,308
CACC,103
CACI,311
CADE,103
CAE,310
CAG,205
CAH,206
CAKE,102
CAL,102
CALM,205
CAR,310
CARG,308
CARS,102
CASH,103
CASY,205
CAT,310
CATM,310
CATY,103
CB,103
CBOE,103
CBPO,206
CBRE,104
CBRL,102
CBSH,103
CBT,101
CBU,103
CBZ,310
CC,101
CCC,311
CCEP,205
CCI,104
CCJ,309
CCK,102
CCL,102
CCMP,311
CCO,308
CCOI,308
CCS,102
CCXI,206
CDAY,311
CDE,101
CDEV,309
CDK,311
CDLX,308
CDNA,206
CDNS,311
CDW,311
CDXS,206
CE,101
CEF,103
CENTA,205
CERN,206
CF,101
CFG,103
CFR,103
CFX,310
CG,103
CGBD,103
CGC,206
CGNX,311
CHCT,104
CHD,205
CHDN,102
CHE,206
CHEF,205
CHGG,205
CHH,102
CHK,309
CHKP,311
CHRS,206
CHRW,310
CHTR,308
CHWY,102
CI,206
CIEN,311
CIM,104
CINF,103
CIR,310
CISN,311
CIT,103
CL,205
CLB,309
CLDR,311
CLF,101
CLGX,311
CLH,310
CLI,104
CLNC,104
CLNY,104
CLR,309
CLX,205
CM,103
CMA,103
CMC,101
CMCO,310
CMCSA,308
CMD,206
CME,103
CMG,102
CMI,310
CMO,104
CMP,101
CMPR,308
CMS,207
CNA,103
CNC,206
CNDT,311
CNHI,310
CNI,310
CNK,308
CNMD,206
CNNE,102
CNO,103
CNP,207
CNQ,309
CNR,310
CNS,103
CNX,309
CODI,310
COF,103
COG,309
COHR,311
COHU,311
COKE,205
COLB,103
COLD,104
COLM,102
COMM,311
CONE,104
COO,206
COOP,103
COP,309
COR,104
CORE,205
CORT,206
COST,205
COT,205
COTY,205
COUP,311
CP,310
CPA,310
CPB,205
CPE,309
CPG,309
CPK,207
CPRI,102
CPRT,310
CPT,104
CR,310
CREE,311
CRI,102
CRL,206
CRM,311
CRON,206
CROX,102
CRS,310
CRSP,206
CRUS,311
CRVL,103
CRWD,311
CRY,206
CSCO,311
CSFL,103
CSGP,104
CSGS,311
CSII,206
CSIQ,311
CSL,310
CSOD,311
CSTM,101
CSX,310
CTAS,310
CTB,102
CTL,308
CTLT,206
CTRE,104
CTSH,311
CTVA,101
CTXS,311
CUB,310
CUBE,104
CUZ,104
CVA,310
CVBF,103
CVCO,102
CVE,309
CVET,206
CVGW,205
CVI,309
CVLT,311
CVNA,102
CVS,206
CVX,309
CW,310
CWEN,207
CWH,102
CWK,104
CWST,310
CWT,207
CXO,309
CXP,104
CXW,104
CY,311
CYBR,311
CZR,102
CZZ,309
D,207
DAL,310
DAN,102
DAR,205
DB,103
DBD,311
DBI,102
DBX,311
DCI,310
DCPH,206
DD,101
DDD,311
DDOG,311
DDS,102
DE,310
DEA,104
DECK,102
DEI,104
DELL,311
DENN,102
DERM,206
DESP,102
DFS,103
DG,205
DGX,206
DHC,104
DHI,102
DHR,206
DHT,309
DIN,102
DIOD,311
DIS,308
DISCA,308
DISH,308
DK,309
DKS,102
DLB,308
DLPH,102
DLR,104
DLTR,205
DLX,308
DNKN,102
DNLI,206
DNOW,309
DO,309
DOC,104
DOCU,311
DOOR,310
DORM,102
DOV,310
DOW,101
DOX,311
DPZ,102
DRE,104
DRH,104
DRI,102
DRNA,206
DRQ,309
DSL,103
