Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,dolv_125, market_cap 
AAPL,Apple Inc,Common Stock,135.34,2.28E+12,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",15978679119,mega
MSFT,Microsoft Corp,Common Stock,244.99,1.85E+12,Information Technology,Software,Systems Software,6562206497,mega
AMZN,Amazon.com Inc,Common Stock,3278.38,1.65E+12,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,14286842849,mega
GOOG,Alphabet Inc,Common Stock,2104,1.42E+12,Communication Services,Interactive Media & Services,Interactive Media & Services,2936150415,mega
GOOGL,Alphabet Inc,Common Stock,2095.03,1.41E+12,Communication Services,Interactive Media & Services,Interactive Media & Services,3009277914,mega
TSLA,Tesla Inc,Common Stock,816.04,7.8348E+11,Consumer Discretionary,Automobiles,Automobile Manufacturers,27329399677,mega
FB,Facebook Inc,Common Stock,270.56,7.7065E+11,Communication Services,Interactive Media & Services,Interactive Media & Services,5571050237,mega
BABA,Alibaba Group Holding Ltd,Depository Receipt,267.85,7.1958E+11,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,5314812559,mega
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Depository Receipt,138.06,7.1599E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,994486087.2,mega
BRK-B,Berkshire Hathaway Inc,Common Stock,242.46,5.7122E+11,Financials,Diversified Financial Services,Multi-Sector Holdings,1119051109,mega
V,Visa Inc,Common Stock,209.96,4.4868E+11,Information Technology,IT Services,Data Processing & Outsourced Services,1747835514,mega
JNJ,Johnson & Johnson,Common Stock,166.58,4.3847E+11,Health Care,Pharmaceuticals,Pharmaceuticals,1107765335,mega
JPM,JPMorgan Chase & Co,Common Stock,141.25,4.3073E+11,Financials,Banks,Diversified Banks,1721558208,mega
WMT,Walmart Inc,Common Stock,144.47,4.0899E+11,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,1235779092,mega
NVDA,NVIDIA Corporation,Common Stock,598.42,3.7044E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,5468688885,mega
PYPL,PayPal Holdings Inc,Common Stock,298.37,3.4969E+11,Information Technology,IT Services,Data Processing & Outsourced Services,1886183654,mega
DIS,Walt Disney Co (The),Common Stock,187.67,3.4043E+11,Communication Services,Entertainment,Movies & Entertainment,1627145801,mega
MA,Mastercard Inc,Common Stock,341,3.393E+11,Information Technology,IT Services,Data Processing & Outsourced Services,1287553467,mega
PG,Procter & Gamble Co (The),Common Stock,127.62,3.1426E+11,Consumer Staples,Household Products,Household Products,901241491.2,mega
UNH,Unitedhealth Group Inc,Common Stock,328.24,3.115E+11,Health Care,Health Care Providers & Services,Managed Health Care,1029671316,mega
RHHBY,Roche Holding AG,Depository Receipt,43.73,2.9899E+11,Health Care,Pharmaceuticals,Pharmaceuticals,65360668.54,mega
HD,Home Depot Inc. (The),Common Stock,277.51,2.986E+11,Consumer Discretionary,Specialty Retail,Home Improvement Retail,1032722187,mega
BAC,Bank of America Corp,Common Stock,33.37,2.8868E+11,Financials,Banks,Diversified Banks,1530394902,mega
INTC,Intel Corp,Common Stock,61.81,2.5107E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1862000040,mega
ASML,ASML Holding NV,Depository Receipt,597.8,2.4907E+11,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,328440779.6,mega
NFLX,Netflix Inc,Common Stock,556.52,2.4648E+11,Communication Services,Entertainment,Movies & Entertainment,2820531381,mega
