Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
AAPL,Apple Inc,Common Stock,135.34,$2.28T,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
MSFT,Microsoft Corp,Common Stock,244.99,$1.85T,Information Technology,Software,Systems Software
AMZN,Amazon.com Inc,Common Stock,3278.38,$1.65T,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
GOOG,Alphabet Inc,Common Stock,2104,$1.42T,Communication Services,Interactive Media & Services,Interactive Media & Services
GOOGL,Alphabet Inc,Common Stock,2095.03,$1.41T,Communication Services,Interactive Media & Services,Interactive Media & Services
TSLA,Tesla Inc,Common Stock,816.04,$783.48B,Consumer Discretionary,Automobiles,Automobile Manufacturers
FB,Facebook Inc,Common Stock,270.56,$770.65B,Communication Services,Interactive Media & Services,Interactive Media & Services
BABA,Alibaba Group Holding Ltd,Depository Receipt,267.85,$719.58B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Depository Receipt,138.06,$715.99B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
BRK-B,Berkshire Hathaway Inc,Common Stock,242.46,$571.22B,Financials,Diversified Financial Services,Multi-Sector Holdings
V,Visa Inc,Common Stock,209.96,$448.68B,Information Technology,IT Services,Data Processing & Outsourced Services
JNJ,Johnson & Johnson,Common Stock,166.58,$438.47B,Health Care,Pharmaceuticals,Pharmaceuticals
JPM,JPMorgan Chase & Co,Common Stock,141.25,$430.73B,Financials,Banks,Diversified Banks
WMT,Walmart Inc,Common Stock,144.47,$408.99B,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
NVDA,NVIDIA Corporation,Common Stock,598.42,$370.44B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
PYPL,PayPal Holdings Inc,Common Stock,298.37,$349.69B,Information Technology,IT Services,Data Processing & Outsourced Services
DIS,Walt Disney Co (The),Common Stock,187.67,$340.43B,Communication Services,Entertainment,Movies & Entertainment
MA,Mastercard Inc,Common Stock,341,$339.30B,Information Technology,IT Services,Data Processing & Outsourced Services
PG,Procter & Gamble Co (The),Common Stock,127.62,$314.26B,Consumer Staples,Household Products,Household Products
UNH,Unitedhealth Group Inc,Common Stock,328.24,$311.50B,Health Care,Health Care Providers & Services,Managed Health Care
RHHBY,Roche Holding AG,Depository Receipt,43.73,$298.99B,Health Care,Pharmaceuticals,Pharmaceuticals
HD,Home Depot Inc. (The),Common Stock,277.51,$298.60B,Consumer Discretionary,Specialty Retail,Home Improvement Retail
BAC,Bank of America Corp,Common Stock,33.37,$288.68B,Financials,Banks,Diversified Banks
INTC,Intel Corp,Common Stock,61.81,$251.07B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
ASML,ASML Holding NV,Depository Receipt,597.8,$249.07B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
NFLX,Netflix Inc,Common Stock,556.52,$246.48B,Communication Services,Entertainment,Movies & Entertainment
CMCSA,Comcast Corp,Common Stock,53.23,$243.83B,Communication Services,Media,Cable & Satellite
ADBE,Adobe Inc,Common Stock,498.84,$238.94B,Information Technology,Software,Application Software
PDD,Pinduoduo,Depository Receipt,196.59,$235.44B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
ABT,Abbott Laboratories,Common Stock,128.23,$227.27B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
TM,Toyota Motor Corp,Depository Receipt,160.49,$224.36B,Consumer Discretionary,Automobiles,Automobile Manufacturers
VZ,Verizon Communications Inc,Common Stock,54.2,$224.28B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
NKE,Nike Inc,Common Stock,142.12,$223.84B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
CRM,salesforce.com Inc,Common Stock,240.37,$219.70B,Information Technology,Software,Application Software
KO,Coca-Cola Co (The),Common Stock,50.69,$218.07B,Consumer Staples,Beverages,Soft Drinks
XOM,Exxon Mobil Corp,Common Stock,50.52,$213.85B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
NVS,Novartis AG,Depository Receipt,92.03,$207.70B,Health Care,Pharmaceuticals,Pharmaceuticals
T,AT&T Inc,Common Stock,28.8,$205.23B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
TMO,Thermo Fisher Scientific Inc,Common Stock,507.83,$201.27B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
