symbol,sector
ARNC ,310
AAPL ,311
ABM ,310
ABMD ,206
ABT ,206
ADSK ,311
TAP ,205
RAMP ,311
ADBE ,311
ADI ,311
ADM ,205
AEP ,207
AES ,207
AFL ,103
AGCO ,310
HES ,309
AIG ,103
AJG ,103
ALK ,310
ALKS ,206
AMAT ,311
AMD ,311
AME ,310
AMGN ,206
TVTY ,206
AN ,102
AON ,103
APA ,309
APD ,101
APH ,311
AAN ,310
ARW ,311
ASB ,103
ASGN ,310
ASH ,101
ATO ,207
ADP ,310
AVP ,205
AVT ,311
AVY ,310
AXP ,103
AZO ,102
BA ,310
BAC ,103
BAX ,206
BBBY ,102
BBY ,102
BC ,102
BDX ,206
BEN ,103
BF.B ,205
BIO ,206
BK ,103
BKH ,207
WRB ,103
BLL ,102
BMY ,206
BOH ,103
BXS ,103
BOOM ,309
BPOP ,103
BRO ,103
BSX ,206
CAL ,102
CACC ,103
CACI ,311
CAG ,205
CAKE ,102
CASY ,205
CAT ,310
CATY ,103
CBM ,206
CBRL ,102
CBSH ,103
CBT ,101
C ,103
CCK ,102
CDE ,101
CAH ,206
CDNS ,311
CELG ,206
CERN ,311
CFR ,103
CGNX ,311
CHD ,205
TCF ,103
CI ,206
CINF ,103
CL ,205
CLF ,101
CLH ,310
CLX ,205
CMA ,103
CMC ,101
CMCSA ,308
CMS ,207
CNMD ,206
CMD ,206
COG ,309
COHR ,311
COKE ,205
COO ,206
COST ,205
CPB ,205
CR ,310
CRUS ,311
CSCO ,311
CSL ,310
CSX ,310
CTAS ,310
CTL ,308
CUB ,310
CMI ,310
CUZ ,104
CW ,310
CY ,311
D ,207
DBD ,311
DCI ,310
DDS ,102
DE ,310
DHR ,206
DIOD ,311
DIS ,102
DLX ,102
DOV ,310
DRE ,104
LCII ,102
DHI ,102
UFS ,101
DTE ,207
DUK ,207
DVN ,309
ATGE ,205
DY ,310
EAT ,102
EV ,103
ECL ,101
ED ,207
EFX ,310
EGP ,104
ELY ,102
EMR ,310
EOG ,309
EQT ,309
EA ,311
VAL ,309
ETN ,310
ETR ,207
EXPD ,310
F ,102
CLGX ,311
FAST ,310
FNB ,103
FCNCA ,103
M ,102
FDX ,310
FBP ,103
FICO ,311
FISV ,310
FITB ,103
FLO ,205
FMC ,101
S ,308
NEE ,207
FRT ,104
FUL ,101
FULT ,103
GVA ,310
TGNA ,102
GD ,310
GE ,310
RHP ,104
GGG ,310
GIII ,102
GILD ,206
GIS ,205
GLW ,311
GATX ,310
GNTX ,102
GPC ,102
GPS ,102
GRA ,101
GT ,102
GWW ,310
AJRD ,310
HA ,310
HAE ,206
HAL ,309
MNST ,205
HAS ,102
HRC ,206
HBAN ,103
HWC ,103
WELL ,104
HCP ,104
HCSG ,206
HD ,102
HOG ,102
HELE ,205
HL ,101
HMSY ,310
HFC ,309
HOLX ,206
HP ,309
HRB ,102
EHC ,206
HRL ,205
EQC ,104
LHX ,310
HSC ,310
HSY ,205
HUBB ,311
HUM ,206
HPQ ,311
HXL ,310
IBM ,311
ICUI ,206
IDA ,207
IDCC ,308
BIIB ,206
IDXX ,206
IEX ,310
IFF ,101
DIN ,102
IIVI ,311
IMMU ,206
INT ,309
INTC ,311
IP ,102
IPG ,102
IR ,310
